"Country","Year","CO2_Mt"
"Lithuania",2003,12.6508543128303
"Luxembourg",2003,10.4161922112513
"Malta",2003,2.66368344319267
"Monaco",2003,0.106526947580852
"Netherlands",2003,179.582912819164
"New Zealand",2003,35.354179491966
"Norway",2003,43.7258536000437
"Poland",2003,315.455194003665
"Portugal",2003,64.1831735838615
"Romania",2003,102.229400834614
"Russian Federation",2003,1530.48679887714
"Slovakia",2003,41.9616832361949
"Slovenia",2003,16.0347540873124
"Spain",2003,333.168011203581
"Sweden",2003,56.6121449354846
"Switzerland",2003,45.025366428259
"Turkey",2003,232.804283022951
"Ukraine",2003,319.469950580912
"United Kingdom",2003,562.296790079811
"United States",2003,5955.61136097039
"Australia",2004,376.669863865794
"Austria",2004,78.229223152151
"Belarus",2004,56.2584978525714
"Belgium",2004,128.07191610939
"Bulgaria",2004,49.4329554438322
"Canada",2004,583.133019246873
"Croatia",2004,23.1594151043639
"Cyprus",2004,7.71304804144759
"Czech Republic",2004,127.570630353575
"Denmark",2004,56.2782506548159
"Estonia",2004,17.0842133384259
"European Union (15)",2004,3500.63589375034
"European Union (28)",2004,4286.72714974406
"Finland",2004,68.485938978789
"France",2004,422.201901116319
"Germany",2004,881.74339619513
"Greece",2004,109.112690213462
"Hungary",2004,59.8515697277277
"Iceland",2004,2.92644403789662
"Ireland",2004,45.8054844102153
"Italy",2004,489.367011123255
"Japan",2004,1277.88364358244
"Latvia",2004,7.655548119871
"Liechtenstein",2004,0.233958190268987
"Lithuania",2004,13.225977354689
"Luxembourg",2004,11.8534354128043
"Malta",2004,2.61859118719705
"Monaco",2004,0.100043320582069
"Netherlands",2004,180.985427489431
"New Zealand",2004,34.9281115518832
"Norway",2004,44.1359704989849
"Poland",2004,319.291942632384
"Portugal",2004,66.8337999146976
"Romania",2004,99.9102930260014
"Russian Federation",2004,1533.07643534601
"Slovakia",2004,42.3045936041252
"Slovenia",2004,16.3924619119274
"Spain",2004,350.071262559516
"Sweden",2004,55.7731778916857
"Switzerland",2004,45.6499158421024
"Turkey",2004,243.594423944962
"Ukraine",2004,321.170914842582
"United Kingdom",2004,563.962123323438
"United States",2004,6074.04078697524
"Australia",2005,380.440454307065
"Austria",2005,79.392936864341
"Belarus",2005,56.6697678604047
"Belgium",2005,124.343567875773
"Bulgaria",2005,50.3044490491773
"Canada",2005,576.74088751386
"Croatia",2005,23.5013757963522
"Cyprus",2005,7.85789299270951
"Czech Republic",2005,126.155764191042
"Denmark",2005,52.6382799471583
"Estonia",2005,16.4217448866272
"European Union (15)",2005,3477.56155099243
"European Union (28)",2005,4262.33586432896
"Finland",2005,56.5324004363062
"France",2005,425.740652383757
"Germany",2005,861.733422930773
"Greece",2005,112.894369870603
"Hungary",2005,59.9463300845584
"Iceland",2005,2.85293366181055
"Ireland",2005,47.6268544616127
"Italy",2005,488.078042670016
"Japan",2005,1282.12844525735
"Latvia",2005,7.74497473435805
"Liechtenstein",2005,0.233459818797046
"Lithuania",2005,13.9848513898497
"Luxembourg",2005,12.1066676017925
"Malta",2005,2.70402677893483
